DATE,thousand_megawatthours,source_key
2010-06-01,176,ELEC.GEN.SUN-US-99.M
2010-07-01,161,ELEC.GEN.SUN-US-99.M
2010-08-01,156,ELEC.GEN.SUN-US-99.M
2010-09-01,138,ELEC.GEN.SUN-US-99.M
2010-10-01,75,ELEC.GEN.SUN-US-99.M
2010-11-01,77,ELEC.GEN.SUN-US-99.M
2010-12-01,44,ELEC.GEN.SUN-US-99.M
2011-01-01,40,ELEC.GEN.SUN-US-99.M
2011-02-01,85,ELEC.GEN.SUN-US-99.M
2011-03-01,122,ELEC.GEN.SUN-US-99.M
2011-04-01,164,ELEC.GEN.SUN-US-99.M
2011-05-01,191,ELEC.GEN.SUN-US-99.M
2011-06-01,223,ELEC.GEN.SUN-US-99.M
2011-07-01,191,ELEC.GEN.SUN-US-99.M
2011-08-01,229,ELEC.GEN.SUN-US-99.M
2011-09-01,186,ELEC.GEN.SUN-US-99.M
2011-10-01,159,ELEC.GEN.SUN-US-99.M
2011-11-01,107,ELEC.GEN.SUN-US-99.M
2011-12-01,121,ELEC.GEN.SUN-US-99.M
2012-01-01,95,ELEC.GEN.SUN-US-99.M
2012-02-01,135,ELEC.GEN.SUN-US-99.M
2012-03-01,231,ELEC.GEN.SUN-US-99.M
2012-04-01,319,ELEC.GEN.SUN-US-99.M
2012-05-01,463,ELEC.GEN.SUN-US-99.M
2012-06-01,527,ELEC.GEN.SUN-US-99.M
2012-07-01,510,ELEC.GEN.SUN-US-99.M
2012-08-01,461,ELEC.GEN.SUN-US-99.M
2012-09-01,458,ELEC.GEN.SUN-US-99.M
2012-10-01,431,ELEC.GEN.SUN-US-99.M
2012-11-01,347,ELEC.GEN.SUN-US-99.M
2012-12-01,349,ELEC.GEN.SUN-US-99.M
2013-01-01,310,ELEC.GEN.SUN-US-99.M
2013-02-01,433,ELEC.GEN.SUN-US-99.M
2013-03-01,619,ELEC.GEN.SUN-US-99.M
2013-04-01,667,ELEC.GEN.SUN-US-99.M
2013-05-01,753,ELEC.GEN.SUN-US-99.M
2013-06-01,871,ELEC.GEN.SUN-US-99.M
2013-07-01,829,ELEC.GEN.SUN-US-99.M
2013-08-01,944,ELEC.GEN.SUN-US-99.M
2013-09-01,949,ELEC.GEN.SUN-US-99.M
2013-10-01,988,ELEC.GEN.SUN-US-99.M
2013-11-01,824,ELEC.GEN.SUN-US-99.M
2013-12-01,850,ELEC.GEN.SUN-US-99.M
2014-01-01,751,ELEC.GEN.SUN-US-99.M
2014-02-01,835,ELEC.GEN.SUN-US-99.M
2014-03-01,1317,ELEC.GEN.SUN-US-99.M
2014-04-01,1487,ELEC.GEN.SUN-US-99.M
2014-05-01,1750,ELEC.GEN.SUN-US-99.M
2014-06-01,1923,ELEC.GEN.SUN-US-99.M
2014-07-01,1788,ELEC.GEN.SUN-US-99.M
2014-08-01,1879,ELEC.GEN.SUN-US-99.M
2014-09-01,1832,ELEC.GEN.SUN-US-99.M
2014-10-01,1717,ELEC.GEN.SUN-US-99.M
2014-11-01,1380,ELEC.GEN.SUN-US-99.M
2014-12-01,1032,ELEC.GEN.SUN-US-99.M
2015-01-01,1155,ELEC.GEN.SUN-US-99.M
2015-02-01,1484,ELEC.GEN.SUN-US-99.M
2015-03-01,2072,ELEC.GEN.SUN-US-99.M
2015-04-01,2379,ELEC.GEN.SUN-US-99.M
2015-05-01,2504,ELEC.GEN.SUN-US-99.M
